,Sample_id,Secondary_sample_id,Category I,Category II
0,MGYA00005291,ERS625306,,
1,MGYA00005292,ERS625307,,
2,MGYA00005293,ERS625308,,
3,MGYA00005294,ERS625309,,
4,MGYA00005295,ERS625310,,
5,MGYA00005296,ERS625311,,
6,MGYA00005297,ERS625312,,
7,MGYA00005298,ERS625313,,
8,MGYA00005299,ERS625314,,
9,MGYA00005300,ERS625315,,
10,MGYA00005301,ERS625316,,
11,MGYA00005302,ERS625317,,
12,MGYA00005303,ERS625318,,
13,MGYA00005304,ERS625319,,
14,MGYA00005305,ERS625320,,
15,MGYA00005306,ERS625321,,
16,MGYA00005307,ERS625322,,
17,MGYA00005308,ERS625323,,
18,MGYA00005309,ERS625324,,
19,MGYA00005310,ERS625325,,
20,MGYA00005311,ERS625326,,
21,MGYA00005312,ERS625327,,
22,MGYA00005313,ERS625328,,
23,MGYA00005314,ERS625329,,
24,MGYA00005315,ERS625330,,
25,MGYA00005316,ERS625331,,
26,MGYA00005317,ERS625332,,
27,MGYA00005318,ERS625333,,
28,MGYA00005319,ERS625334,,
29,MGYA00005320,ERS625335,,
30,MGYA00005321,ERS625336,,
31,MGYA00005322,ERS625337,,
32,MGYA00005323,ERS625338,,
33,MGYA00005324,ERS625339,,
34,MGYA00005325,ERS625340,,
35,MGYA00005326,ERS625341,,
36,MGYA00005327,ERS625342,,
37,MGYA00005328,ERS625343,,
38,MGYA00005329,ERS625344,,
39,MGYA00005330,ERS625345,,
