,"frozenset({'GO:transposition-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component', 'GO:homeostatic_process-biological_process', 'GO:cell_division-biological_process'})","frozenset({'GO:transposition-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component'})","frozenset({'GO:transposition-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:acetyltransferase_activity-molecular_function', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component'})","frozenset({'GO:transposition-biological_process', 'GO:cell_division-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component'})",frozenset({'GO:homeostatic_process-biological_process'}),"frozenset({'GO:transposition-biological_process', 'GO:homeostatic_process-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component'})","frozenset({'GO:transposition-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component', 'GO:cell_division-biological_process', 'GO:acetyltransferase_activity-molecular_function'})","frozenset({'GO:transposition-biological_process', 'GO:ATP_metabolic_process-biological_process', 'GO:proton-transporting_two-sector_ATPase_complex-cellular_component', 'GO:homeostatic_process-biological_process', 'GO:acetyltransferase_activity-molecular_function'})",frozenset({'GO:transposition-biological_process'}),"frozenset({'GO:transposition-biological_process', 'GO:acetyltransferase_activity-molecular_function'})","frozenset({'GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process'})","frozenset({'GO:transposition-biological_process', 'GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process'})"
0,True,True,True,True,True,True,True,True,False,False,False,False
1,True,True,True,True,True,True,True,True,False,False,False,False
2,True,True,True,True,True,True,True,True,False,False,False,False
3,True,True,True,True,True,True,True,True,False,False,False,False
4,True,True,True,True,True,True,True,True,False,False,False,False
5,True,True,True,True,True,True,True,True,False,False,False,False
6,True,True,True,True,True,True,True,True,False,False,False,False
7,True,False,False,False,True,True,False,True,False,False,False,False
8,True,True,True,True,True,True,True,True,False,False,False,False
9,True,True,True,True,True,True,True,True,False,False,False,False
10,True,True,True,True,True,True,True,True,False,False,False,False
11,True,True,True,True,True,True,True,True,False,False,False,False
12,True,True,True,True,True,True,True,True,False,False,False,False
13,True,True,True,True,True,True,True,True,False,False,False,False
14,True,True,True,True,True,True,True,True,False,False,False,False
15,True,True,True,True,True,True,True,True,False,False,False,False
16,True,True,True,True,False,True,True,True,False,False,False,False
17,True,True,True,True,False,True,True,True,False,False,False,False
18,True,True,True,True,True,True,True,True,False,False,False,False
19,True,True,True,True,True,True,True,True,False,False,False,False
20,False,True,False,False,False,False,False,False,True,True,True,True
21,False,True,False,False,False,False,False,False,True,True,False,True
22,False,True,False,False,False,False,False,False,True,True,False,True
23,False,True,False,False,False,False,False,False,True,True,True,True
24,False,True,False,False,False,False,False,False,True,True,True,True
25,False,True,False,False,False,False,False,False,True,True,False,True
26,False,True,False,False,False,False,False,False,True,True,False,True
27,False,False,False,False,False,False,False,False,False,False,True,True
28,False,True,False,False,False,False,False,False,True,True,True,True
29,False,True,False,False,False,False,False,False,True,True,True,True
30,False,True,False,False,False,False,False,False,True,True,True,True
31,False,True,False,False,False,False,False,False,True,True,True,True
32,False,True,False,False,False,False,False,False,True,True,True,True
33,False,True,False,False,False,False,False,False,True,True,True,True
34,False,True,False,False,False,False,False,False,True,True,True,True
35,False,True,False,False,False,False,False,False,True,True,True,True
36,False,True,False,False,False,False,False,False,True,True,True,True
37,False,False,False,False,False,False,False,False,False,False,True,True
38,False,False,False,False,False,False,False,False,False,False,True,True
39,False,True,False,False,False,False,False,False,True,True,True,True
