,count
file_confidence_04_conseq_1_anteced_1,32
file_confidence_04_conseq_1_anteced_2,45
file_confidence_04_conseq_1_anteced_3,24
file_confidence_04_conseq_1_anteced_4,5
file_confidence_04_conseq_2_anteced_1,45
file_confidence_04_conseq_2_anteced_3,46
file_confidence_04_conseq_3_anteced_1,24
file_confidence_04_conseq_3_anteced_2,10
file_confidence_04_conseq_4_anteced_1,5
file_confidence_05_conseq_1_anteced_1,32
file_confidence_05_conseq_1_anteced_2,45
file_confidence_05_conseq_1_anteced_3,24
file_confidence_05_conseq_1_anteced_4,5
file_confidence_05_conseq_2_anteced_1,45
file_confidence_05_conseq_2_anteced_3,46
file_confidence_05_conseq_3_anteced_1,24
file_confidence_05_conseq_3_anteced_2,10
file_confidence_05_conseq_4_anteced_1,5
file_confidence_06_conseq_1_anteced_1,32
file_confidence_06_conseq_1_anteced_2,45
file_confidence_06_conseq_1_anteced_3,24
file_confidence_06_conseq_1_anteced_4,5
file_confidence_06_conseq_2_anteced_1,45
file_confidence_06_conseq_2_anteced_3,46
file_confidence_06_conseq_3_anteced_1,24
file_confidence_06_conseq_3_anteced_2,10
file_confidence_06_conseq_4_anteced_1,5
file_confidence_07_conseq_1_anteced_1,30
file_confidence_07_conseq_1_anteced_2,45
file_confidence_07_conseq_1_anteced_3,24
file_confidence_07_conseq_1_anteced_4,5
file_confidence_07_conseq_2_anteced_1,41
file_confidence_07_conseq_2_anteced_2,36
file_confidence_07_conseq_2_anteced_3,10
file_confidence_07_conseq_3_anteced_1,23
file_confidence_07_conseq_3_anteced_2,10
file_confidence_07_conseq_4_anteced_1,5
file_confidence_08_conseq_1_anteced_1,25
file_confidence_08_conseq_1_anteced_2,40
file_confidence_08_conseq_1_anteced_3,23
file_confidence_08_conseq_1_anteced_4,5
file_confidence_08_conseq_2_anteced_1,27
file_confidence_08_conseq_2_anteced_3,43
file_confidence_08_conseq_3_anteced_1,12
file_confidence_08_conseq_3_anteced_2,10
file_confidence_08_conseq_4_anteced_1,2
file_support_09_conseq_1_anteced_1,13
file_support_09_conseq_1_anteced_2,31
file_support_09_conseq_1_anteced_3,23
file_support_09_conseq_1_anteced_4,5
file_support_09_conseq_2_anteced_2,21
file_support_09_conseq_2_anteced_3,20
file_support_09_conseq_3_anteced_1,4
file_support_09_conseq_3_anteced_2,4
